unit,sizen_r2,indic_is,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 
PC_ENT,10_C10_18,E_ESELL,TR	9 	10 	9 	: 	: 	: 	: 	8 	: 
PC_ENT,10_C10_18,E_ESELL,UK	37 	35 	31 	33 	28 	30 	25 	26 	29 
PC_ENT,10_C10_18,E_WEBORD,AT	16 	24 	20 	15 	22 	18 	19 	11 	13 
PC_ENT,10_C10_18,E_WEBORD,BE	17 	19 	20 	14 	12 	23 	15 	: 	: 
PC_ENT,10_C10_18,E_WEBORD,BG	11 	9 	9 	9 	9 	8 	7 	5 	4 
PC_ENT,10_C10_18,E_WEBORD,CY	7 	7 	5 	6 	6 	3 	2 	2 	4 
PC_ENT,10_C10_18,E_WEBORD,CZ	32 	28 	31 	39 	31 	29 	27 	23 	20 
PC_ENT,10_C10_18,E_WEBORD,DE	23 	17 	16 	14 	14 	14 	21 	18 	23 
PC_ENT,10_C10_18,E_WEBORD,DK	29 	25 	25 	24 	22 	16 	30 	18 	13 
PC_ENT,10_C10_18,E_WEBORD,EA	17 	15 	14 	12 	12 	11 	14 	13 	13 
PC_ENT,10_C10_18,E_WEBORD,EE	9 	9 	9 	5 	9 	10 	9 	9 	9 
PC_ENT,10_C10_18,E_WEBORD,EL	10 	13 	11 	: u	: u	: u	10 	: u	: 
PC_ENT,10_C10_18,E_WEBORD,ES	14 	13 	12 	11 	11 	7 	9 	9 	6 
PC_ENT,10_C10_18,E_WEBORD,EU15	19 	17 	15 	13 	13 	13 	15 	13 	13 
PC_ENT,10_C10_18,E_WEBORD,EU25	: 	: 	: 	: 	: 	: 	: 	12 	12 
PC_ENT,10_C10_18,E_WEBORD,EU27	17 	15 	14 	14 	13 	12 	13 	12 	11 
PC_ENT,10_C10_18,E_WEBORD,EU28	17 	15 	14 	14 	13 	12 	13 	11 	11 
PC_ENT,10_C10_18,E_WEBORD,FI	25 	17 	21 	16 	16 	15 	18 	: 	12 
PC_ENT,10_C10_18,E_WEBORD,FR	15 	15 	14 	11 	10 	12 	14 	: 	13 
PC_ENT,10_C10_18,E_WEBORD,HR	10 	7 	7 	: u	11 	6 	7 	8 	6 
PC_ENT,10_C10_18,E_WEBORD,HU	10 	13 	12 	12 	12 	10 	9 	11 	11 
PC_ENT,10_C10_18,E_WEBORD,IE	23 	23 	15 	25 	14 	18 	23 	22 	14 
PC_ENT,10_C10_18,E_WEBORD,IS	17 	: 	: 	19 	26 	18 	: 	33 	: 
PC_ENT,10_C10_18,E_WEBORD,IT	16 	13 	10 	10 	10 	8 	12 	12 	13 
PC_ENT,10_C10_18,E_WEBORD,LT	19 	14 	21 	20 	19 	15 	19 	12 	10 
PC_ENT,10_C10_18,E_WEBORD,LU	20 	21 	17 	14 	15 	18 	16 	12 	11 
PC_ENT,10_C10_18,E_WEBORD,LV	8 	11 	11 	9 	7 	7 	9 	: 	4 
PC_ENT,10_C10_18,E_WEBORD,MK	: 	5 	3 	6 	8 	5 	: u	: u	: 
PC_ENT,10_C10_18,E_WEBORD,MT	22 	22 	20 	14 	18 	14 	16 	15 	5 
PC_ENT,10_C10_18,E_WEBORD,NL	41 	38 	40 	42 	32 	29 	30 	29 	26 
PC_ENT,10_C10_18,E_WEBORD,NO	24 	21 	28 	24 	27 	26 	26 	30 	27 
PC_ENT,10_C10_18,E_WEBORD,PL	11 	11 	9 	13 	14 	11 	9 	: u	5 
PC_ENT,10_C10_18,E_WEBORD,PT	7 	5 	5 	5 	4 	: u	: u	: u	: u
PC_ENT,10_C10_18,E_WEBORD,RO	15 	9 	13 	11 	10 	5 	4 	7 	5 
PC_ENT,10_C10_18,E_WEBORD,RS	: 	: 	: 	9 	: 	: 	: 	: 	: 
PC_ENT,10_C10_18,E_WEBORD,SE	28 	30 	28 	32 	28 	31 	25 	: 	: 
PC_ENT,10_C10_18,E_WEBORD,SI	12 	14 	19 	15 	5 	8 	7 	10 	10 
PC_ENT,10_C10_18,E_WEBORD,SK	18 	22 	18 	13 	25 	17 	16 	17 	12 
PC_ENT,10_C10_18,E_WEBORD,TR	6 	6 	5 	: 	: 	: 	: 	6 	: 
PC_ENT,10_C10_18,E_WEBORD,UK	28 	28 	23 	17 	17 	24 	20 	: 	: 
PC_ENT,10_C10_33,E_AEBEU,AT	: 	: 	: 	: 	: 	: 	44 	: 	23 
PC_ENT,10_C10_33,E_AEBEU,BE	: 	: 	: 	: 	: 	: 	22 	: 	: u
PC_ENT,10_C10_33,E_AEBEU,BG	2 	: 	6 	: 	3 	: 	3 	: 	1 
PC_ENT,10_C10_33,E_AEBEU,CY	8 	: 	19 	: 	8 	: 	18 	: 	19 
PC_ENT,10_C10_33,E_AEBEU,CZ	26 	: 	23 	: 	22 	: 	18 	: 	9 
PC_ENT,10_C10_33,E_AEBEU,DE	: 	: 	10 	: 	12 	: 	14 	: 	9 
PC_ENT,10_C10_33,E_AEBEU,DK	: 	: 	: 	: 	: 	: 	36 	: 	: u
PC_ENT,10_C10_33,E_AEBEU,EA	: 	: 	15 	: 	13 	: 	11 	: 	10 
PC_ENT,10_C10_33,E_AEBEU,EE	15 	: 	5 	: 	6 	: 	5 	: 	8 
PC_ENT,10_C10_33,E_AEBEU,EL	3 	: 	8 	: 	: u	: 	4 	: 	: u
PC_ENT,10_C10_33,E_AEBEU,ES	12 	: 	9 	: 	7 	: 	7 	: 	5 
PC_ENT,10_C10_33,E_AEBEU,EU15	: 	: 	: 	: 	13 	: 	12 	: 	10 
PC_ENT,10_C10_33,E_AEBEU,EU25	: 	: 	: 	: 	: 	: 	: 	: 	9 
PC_ENT,10_C10_33,E_AEBEU,EU27	: 	: 	13 	: 	12 	: 	11 	: 	9 
PC_ENT,10_C10_33,E_AEBEU,EU28	: 	: 	13 	: 	12 	: 	11 	: 	9 
PC_ENT,10_C10_33,E_AEBEU,FI	: 	: 	24 	: 	: 	: 	19 	: 	: u
PC_ENT,10_C10_33,E_AEBEU,FR	: 	: 	: 	: 	8 	: 	9 	: 	6 
PC_ENT,10_C10_33,E_AEBEU,HR	6 	: 	6 	: 	: 	: 	18 	: 	12 
PC_ENT,10_C10_33,E_AEBEU,HU	10 	: 	12 	: 	10 	: 	10 	: 	7 
PC_ENT,10_C10_33,E_AEBEU,IE	: 	: 	31 	: 	25 	: 	21 	: 	31 
PC_ENT,10_C10_33,E_AEBEU,IT	27 	: 	21 	: 	: u	: 	10 	: 	12 
PC_ENT,10_C10_33,E_AEBEU,LT	: 	: 	: 	: 	9 	: 	16 	: 	13 
PC_ENT,10_C10_33,E_AEBEU,LU	34 	: 	30 	: 	34 	: 	38 	: 	24 
PC_ENT,10_C10_33,E_AEBEU,LV	16 	: 	16 	: 	8 	: 	9 	: 	: c
PC_ENT,10_C10_33,E_AEBEU,MK	: 	: 	2 	: 	3 	: 	: u	: 	: 
PC_ENT,10_C10_33,E_AEBEU,MT	: 	: 	: 	: 	: 	: 	19 	: 	8 
PC_ENT,10_C10_33,E_AEBEU,NL	24 	: 	20 b	: 	20 	: 	12 	: 	22 
PC_ENT,10_C10_33,E_AEBEU,NO	11 	: 	10 	: 	11 	: 	18 	: 	20 
PC_ENT,10_C10_33,E_AEBEU,PL	6 	: 	4 	: 	: u	: 	: u	: 	3 
PC_ENT,10_C10_33,E_AEBEU,PT	10 	: 	11 	: 	8 	: 	: u	: 	6 
PC_ENT,10_C10_33,E_AEBEU,RO	1 	: 	: 	: 	: 	: 	1 	: 	1 
PC_ENT,10_C10_33,E_AEBEU,SE	9 	: 	: 	: 	: 	: 	13 	: 	9 
PC_ENT,10_C10_33,E_AEBEU,SI	: 	: 	9 	: 	13 	: 	12 	: 	9 
PC_ENT,10_C10_33,E_AEBEU,SK	9 	: 	13 	: 	13 	: 	7 	: 	7 
PC_ENT,10_C10_33,E_AEBEU,UK	: 	: 	: 	: 	: 	: 	15 	: 	9 
PC_ENT,10_C10_33,E_AEBEUWW,AT	: 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,BE	: 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,BG	: u	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,CY	4 	: 	: 	: 	: 	: 	6 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,CZ	9 	: 	: 	: 	: 	: 	6 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,DE	: 	: 	: 	: 	: 	: 	6 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,DK	: 	: 	: 	: 	: 	: 	18 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,EA	: 	: 	: 	: 	: 	: 	4 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,EE	6 	: 	: 	: 	: 	: 	2 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,EL	1 	: 	: 	: 	: 	: 	2 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,ES	5 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,EU15	: 	: 	: 	: 	: 	: 	5 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,EU27	: 	: 	: 	: 	: 	: 	4 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,EU28	: 	: 	: 	: 	: 	: 	4 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,FI	: 	: 	: 	: 	: 	: 	10 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,FR	: 	: 	: 	: 	: 	: 	4 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,HR	3 	: 	: 	: 	: 	: 	11 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,HU	4 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,IE	: 	: 	: 	: 	: 	: 	21 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,IT	10 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,LT	: 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,LU	7 	: 	: 	: 	: 	: 	10 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,LV	7 	: 	: 	: 	: 	: 	0 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,MK	: 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,MT	: 	: 	: 	: 	: 	: 	9 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,NL	9 	: 	: 	: 	: 	: 	5 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,NO	4 	: 	: 	: 	: 	: 	9 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,PL	2 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,PT	4 	: 	: 	: 	: 	: 	1 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,RO	0 n	: 	: 	: 	: 	: 	0 n	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,SE	4 	: 	: 	: 	: 	: 	7 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,SI	: 	: 	: 	: 	: 	: 	5 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,SK	4 	: 	: 	: 	: 	: 	1 	: 	: 
PC_ENT,10_C10_33,E_AEBEUWW,UK	: 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_33,E_AEBHM,AT	: 	: 	: 	: 	: 	: 	54 	: 	30 
PC_ENT,10_C10_33,E_AEBHM,BE	: 	: 	: 	: 	: 	: 	35 	: 	: u
PC_ENT,10_C10_33,E_AEBHM,BG	4 	: 	11 	: 	5 	: 	5 	: 	3 
PC_ENT,10_C10_33,E_AEBHM,CY	3 	: 	3 	: 	2 	: 	6 	: 	4 
PC_ENT,10_C10_33,E_AEBHM,CZ	59 	: 	56 	: 	51 	: 	40 	: 	21 
PC_ENT,10_C10_33,E_AEBHM,DE	: 	: 	25 	: 	43 	: 	45 	: 	42 
PC_ENT,10_C10_33,E_AEBHM,DK	: 	: 	: 	: 	: 	: 	72 	: 	: u
PC_ENT,10_C10_33,E_AEBHM,EA	: 	: 	28 	: 	30 	: 	28 	: 	27 
PC_ENT,10_C10_33,E_AEBHM,EE	19 	: 	8 	: 	9 	: 	7 	: 	13 
PC_ENT,10_C10_33,E_AEBHM,EL	4 	: 	11 	: 	: u	: 	7 	: 	: u
PC_ENT,10_C10_33,E_AEBHM,ES	28 	: 	23 	: 	18 	: 	19 	: 	16 
PC_ENT,10_C10_33,E_AEBHM,EU15	: 	: 	: 	: 	31 	: 	31 	: 	29 
PC_ENT,10_C10_33,E_AEBHM,EU25	: 	: 	: 	: 	: 	: 	: 	: 	26 
PC_ENT,10_C10_33,E_AEBHM,EU27	: 	: 	27 	: 	29 	: 	28 	: 	25 
PC_ENT,10_C10_33,E_AEBHM,EU28	: 	: 	27 	: 	29 	: 	28 	: 	24 
PC_ENT,10_C10_33,E_AEBHM,FI	: 	: 	48 	: 	: 	: 	40 	: 	: u
PC_ENT,10_C10_33,E_AEBHM,FR	: 	: 	: 	: 	18 	: 	26 	: 	18 
PC_ENT,10_C10_33,E_AEBHM,HR	8 	: 	7 	: 	: 	: 	26 	: 	15 
PC_ENT,10_C10_33,E_AEBHM,HU	15 	: 	31 	: 	26 	: 	30 	: 	19 
PC_ENT,10_C10_33,E_AEBHM,IE	: 	: 	37 	: 	27 	: 	45 	: 	39 
PC_ENT,10_C10_33,E_AEBHM,IT	40 	: 	35 	: 	: u	: 	22 	: 	29 
PC_ENT,10_C10_33,E_AEBHM,LT	: 	: 	: 	: 	16 	: 	26 	: 	19 
PC_ENT,10_C10_33,E_AEBHM,LU	17 	: 	14 	: 	23 	: 	32 	: 	20 
PC_ENT,10_C10_33,E_AEBHM,LV	26 	: 	28 	: 	16 	: 	18 	: 	10 
PC_ENT,10_C10_33,E_AEBHM,MK	: 	: 	1 	: 	1 	: 	: u	: 	: 
PC_ENT,10_C10_33,E_AEBHM,MT	: 	: 	: 	: 	: 	: 	8 	: 	3 
PC_ENT,10_C10_33,E_AEBHM,NL	59 	: 	47 b	: 	56 	: 	32 	: 	39 
PC_ENT,10_C10_33,E_AEBHM,NO	28 	: 	20 	: 	37 	: 	45 	: 	56 
PC_ENT,10_C10_33,E_AEBHM,PL	14 	: 	9 	: 	19 	: 	: u	: 	9 
PC_ENT,10_C10_33,E_AEBHM,PT	10 	: 	15 	: 	11 	: 	14 	: 	15 
PC_ENT,10_C10_33,E_AEBHM,RO	1 	: 	: 	: 	: 	: 	5 	: 	4 
PC_ENT,10_C10_33,E_AEBHM,SE	22 	: 	: 	: 	: 	: 	45 	: 	33 
PC_ENT,10_C10_33,E_AEBHM,SI	: 	: 	19 	: 	24 	: 	16 	: 	20 
PC_ENT,10_C10_33,E_AEBHM,SK	11 	: 	20 	: 	17 	: 	14 	: 	12 
PC_ENT,10_C10_33,E_AEBHM,UK	: 	: 	: 	: 	: 	: 	45 	: 	32 
PC_ENT,10_C10_33,E_AEBUY,AT	66 	66 	67 	66 	57 	60 	58 	49 	33 
PC_ENT,10_C10_33,E_AEBUY,BE	: u	: u	: u	: u	: u	24 	36 	: u	: u
PC_ENT,10_C10_33,E_AEBUY,BG	10 	10 	12 	10 	6 	5 	9 	6 	3 
PC_ENT,10_C10_33,E_AEBUY,CY	39 	43 	20 	12 	10 	12 	24 	17 	22 
PC_ENT,10_C10_33,E_AEBUY,CZ	59 	63 	56 	53 	51 	44 	42 	35 	25 
PC_ENT,10_C10_33,E_AEBUY,DE	56 	: 	55 	48 	50 	55 	51 	54 	55 
PC_ENT,10_C10_33,E_AEBUY,DK	: 	: 	: u	72 	79 	74 	74 	71 	: u
PC_ENT,10_C10_33,E_AEBUY,EA	45 	40 	41 	37 	35 	33 	31 	34 	33 
PC_ENT,10_C10_33,E_AEBUY,EE	22 	22 	19 	30 	11 	10 	8 	18 	17 
PC_ENT,10_C10_33,E_AEBUY,EL	12 	: u	16 	: u	: u	: u	10 	: u	: u
PC_ENT,10_C10_33,E_AEBUY,ES	29 	28 	24 	24 	19 	17 	19 	22 	16 
PC_ENT,10_C10_33,E_AEBUY,EU15	47 	42 	43 	40 	39 	36 	34 	38 	34 
PC_ENT,10_C10_33,E_AEBUY,EU25	: 	: 	: 	: 	: 	: 	: 	35 	31 
PC_ENT,10_C10_33,E_AEBUY,EU27	43 	39 	38 	36 	35 	32 	30 	33 	29 
PC_ENT,10_C10_33,E_AEBUY,EU28	43 	39 	38 	36 	35 	32 	31 	33 	29 
PC_ENT,10_C10_33,E_AEBUY,FI	: 	: 	50 	44 	40 	44 	42 	37 	39 
PC_ENT,10_C10_33,E_AEBUY,FR	52 	53 	40 b	25 	18 	19 	27 	24 	22 
PC_ENT,10_C10_33,E_AEBUY,HR	21 	22 	18 	: u	: 	18 	: u	: u	25 
PC_ENT,10_C10_33,E_AEBUY,HU	39 	36 	32 	32 	28 	28 	32 	26 	21 
PC_ENT,10_C10_33,E_AEBUY,IE	48 	41 	40 	40 	44 	54 	52 	49 	63 
PC_ENT,10_C10_33,E_AEBUY,IS	: 	: 	: 	69 	: u	66 	: 	: 	: 
PC_ENT,10_C10_33,E_AEBUY,IT	43 	41 	38 	39 	41 	35 	24 	33 	32 
PC_ENT,10_C10_33,E_AEBUY,LT	27 	25 	23 	23 	17 	18 	28 	27 	22 
PC_ENT,10_C10_33,E_AEBUY,LU	37 	43 	34 	49 	45 	46 	47 	47 	: u
PC_ENT,10_C10_33,E_AEBUY,LV	: u	35 	31 	29 	17 	21 	20 	11 	11 
PC_ENT,10_C10_33,E_AEBUY,MK	: 	3 	4 	: u	4 	: u	: u	8 	: 
PC_ENT,10_C10_33,E_AEBUY,MT	: 	: 	19 	23 	14 	21 	21 	16 	8 
PC_ENT,10_C10_33,E_AEBUY,NL	59 	53 	47 b	58 	57 	: u	33 	47 	40 
PC_ENT,10_C10_33,E_AEBUY,NO	53 	38 	47 	30 	43 	38 	55 	61 	59 
PC_ENT,10_C10_33,E_AEBUY,PL	32 	34 	20 	23 	19 	17 	14 	13 	: u
PC_ENT,10_C10_33,E_AEBUY,PT	21 	20 	17 	18 	13 	17 	16 	25 	17 
PC_ENT,10_C10_33,E_AEBUY,RO	11 	11 	12 	: u	12 	7 	5 	5 	4 
PC_ENT,10_C10_33,E_AEBUY,RS	: 	: 	: 	44 	: 	: 	: 	: 	: 
PC_ENT,10_C10_33,E_AEBUY,SE	55 	38 	41 	43 	41 	49 	47 	67 	59 
PC_ENT,10_C10_33,E_AEBUY,SI	: 	27 	22 	21 	27 	22 	20 	16 	23 
PC_ENT,10_C10_33,E_AEBUY,SK	22 	25 	22 	19 	21 	15 	18 	17 	14 
PC_ENT,10_C10_33,E_AEBUY,TR	: 	: 	: u	: 	: 	: 	: 	13 	: 
PC_ENT,10_C10_33,E_AEBUY,UK	: u	50 	49 	50 	58 	51 	45 	52 	34 
PC_ENT,10_C10_33,E_AEBWW,AT	: 	: 	: 	: 	: 	: 	8 	: 	4 
PC_ENT,10_C10_33,E_AEBWW,BE	: 	: 	: 	: 	: 	: 	8 	: 	: u
PC_ENT,10_C10_33,E_AEBWW,BG	: u	: 	3 	: 	: u	: 	: u	: 	1 
PC_ENT,10_C10_33,E_AEBWW,CY	5 	: 	8 	: 	6 	: 	10 	: 	10 
PC_ENT,10_C10_33,E_AEBWW,CZ	10 	: 	8 	: 	9 	: 	7 	: 	3 
PC_ENT,10_C10_33,E_AEBWW,DE	: 	: 	5 	: 	5 	: 	7 	: 	5 
PC_ENT,10_C10_33,E_AEBWW,DK	: 	: 	: 	: 	: 	: 	19 	: 	: u
PC_ENT,10_C10_33,E_AEBWW,EA	: 	: 	7 	: 	6 	: 	5 	: 	4 
PC_ENT,10_C10_33,E_AEBWW,EE	7 	: 	2 	: 	2 	: 	2 	: 	3 
PC_ENT,10_C10_33,E_AEBWW,EL	2 	: 	5 	: 	: u	: 	2 	: 	: u
PC_ENT,10_C10_33,E_AEBWW,ES	5 	: 	6 	: 	4 	: 	3 	: 	2 
PC_ENT,10_C10_33,E_AEBWW,EU15	: 	: 	: 	: 	6 	: 	6 	: 	5 
PC_ENT,10_C10_33,E_AEBWW,EU25	: 	: 	: 	: 	: 	: 	: 	: 	4 
PC_ENT,10_C10_33,E_AEBWW,EU27	: 	: 	6 	: 	6 	: 	5 	: 	4 
PC_ENT,10_C10_33,E_AEBWW,EU28	: 	: 	6 	: 	6 	: 	5 	: 	4 
PC_ENT,10_C10_33,E_AEBWW,FI	: 	: 	14 	: 	: 	: 	10 	: 	: u
PC_ENT,10_C10_33,E_AEBWW,FR	: 	: 	: 	: 	3 	: 	4 	: 	3 
PC_ENT,10_C10_33,E_AEBWW,HR	3 	: 	3 	: 	: 	: 	12 	: 	7 
PC_ENT,10_C10_33,E_AEBWW,HU	5 	: 	1 	: 	3 	: 	4 	: 	2 
PC_ENT,10_C10_33,E_AEBWW,IE	: 	: 	19 	: 	14 	: 	21 	: 	19 
PC_ENT,10_C10_33,E_AEBWW,IT	11 	: 	9 	: 	: u	: 	4 	: 	5 
PC_ENT,10_C10_33,E_AEBWW,LT	: 	: 	: 	: 	5 	: 	8 	: 	9 
PC_ENT,10_C10_33,E_AEBWW,LU	7 	: 	8 	: 	6 	: 	10 	: 	9 
PC_ENT,10_C10_33,E_AEBWW,LV	8 	: 	9 	: 	3 	: 	3 	: 	: c
PC_ENT,10_C10_33,E_AEBWW,MK	: 	: 	1 	: 	2 	: 	: u	: 	: 
PC_ENT,10_C10_33,E_AEBWW,MT	: 	: 	: 	: 	: 	: 	11 	: 	3 
PC_ENT,10_C10_33,E_AEBWW,NL	10 	: 	8 b	: 	10 	: 	6 	: 	13 
PC_ENT,10_C10_33,E_AEBWW,NO	5 	: 	6 	: 	5 	: 	9 	: 	11 
PC_ENT,10_C10_33,E_AEBWW,PL	3 	: 	2 	: 	: u	: 	: u	: 	1 
PC_ENT,10_C10_33,E_AEBWW,PT	4 	: 	5 	: 	4 	: 	1 	: 	: u
PC_ENT,10_C10_33,E_AEBWW,RO	0 n	: 	: 	: 	: 	: 	0 n	: 	0 n
PC_ENT,10_C10_33,E_AEBWW,SE	4 	: 	: 	: 	: 	: 	7 	: 	5 
PC_ENT,10_C10_33,E_AEBWW,SI	: 	: 	2 	: 	6 	: 	6 	: 	4 
PC_ENT,10_C10_33,E_AEBWW,SK	4 	: 	4 	: 	4 	: 	1 	: 	2 
PC_ENT,10_C10_33,E_AEBWW,UK	: 	: 	: 	: 	: 	: 	10 	: 	8 
PC_ENT,10_C10_33,E_AESBEU,AT	: 	: 	: 	: 	: 	: 	46 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,BE	: 	: 	: 	: 	11 	: 	30 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,BG	5 	: 	8 	: 	5 	: 	4 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,CY	10 	: 	19 	: 	8 	: 	19 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,CZ	31 	: 	28 	: 	28 	: 	24 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,DE	: 	: 	19 	: 	19 	: 	: u	: 	: 
PC_ENT,10_C10_33,E_AESBEU,DK	: 	: 	: 	: 	: 	: 	40 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,EA	: 	: 	20 	: 	17 	: 	15 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,EE	19 	: 	10 	: 	10 	: 	9 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,EL	5 	: 	10 	: 	: u	: 	8 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,ES	17 	: 	12 	: 	9 	: 	9 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,EU15	: 	: 	: 	: 	17 	: 	16 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,EU27	: 	: 	18 	: 	16 	: 	15 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,EU28	: 	: 	18 	: 	16 	: 	15 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,FI	: 	: 	28 	: 	: 	: 	21 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,FR	: 	: 	: 	: 	14 	: 	14 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,HR	12 	: 	15 	: 	11 	: 	22 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,HU	13 	: 	14 	: 	12 	: 	12 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,IE	: 	: 	39 	: 	33 	: 	30 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,IT	29 	: 	23 	: 	: u	: 	11 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,LT	: 	: 	: 	: 	16 	: 	20 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,LU	41 	: 	36 	: 	41 	: 	: c	: 	: 
PC_ENT,10_C10_33,E_AESBEU,LV	18 	: 	17 	: 	9 	: 	11 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,MK	: 	: 	2 	: 	4 	: 	: u	: 	: 
PC_ENT,10_C10_33,E_AESBEU,MT	: 	: 	: 	: 	: 	: 	21 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,NL	30 	: 	26 	: 	25 	: 	18 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,NO	14 	: 	12 	: 	14 	: 	21 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,PL	9 	: 	8 	: 	: u	: 	: u	: 	: 
PC_ENT,10_C10_33,E_AESBEU,PT	16 	: 	16 	: 	11 	: 	12 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,RO	2 	: 	: 	: 	: 	: 	2 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,SE	22 	: 	: 	: 	: 	: 	21 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,SI	: 	: 	14 	: 	16 	: 	14 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,SK	16 	: 	17 	: 	20 	: 	11 	: 	: 
PC_ENT,10_C10_33,E_AESBEU,UK	: 	: 	: 	: 	: 	: 	19 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,AT	: 	: 	: 	: 	: 	: 	57 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,BE	: 	: 	: 	: 	: 	: 	48 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,BG	: 	: 	: 	: 	: 	: 	9 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,CY	: 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,CZ	: 	: 	: 	: 	: 	: 	45 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,DE	: 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_33,E_AESBHM,DK	: 	: 	: 	: 	: 	: 	77 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,EA	: 	: 	: 	: 	: 	: 	35 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,EE	: 	: 	: 	: 	: 	: 	14 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,EL	: 	: 	: 	: 	: 	: 	13 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,ES	: 	: 	: 	: 	: 	: 	25 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,EU15	: 	: 	: 	: 	: 	: 	38 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,EU27	: 	: 	: 	: 	: 	: 	34 	: 	: 
PC_ENT,10_C10_33,E_AESBHM,EU28	: 	: 	: 	: 	: 	: 	34 	: 	: 
