,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
20,8779-QRDMV,Male,1,0,0,1,0,No phone service,DSL,No,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,39.65,1
21,1680-VDCWW,Male,0,1,0,12,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0
22,1066-JKSGK,Male,0,0,0,1,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1
23,3638-WEABW,Female,0,1,0,58,1,Yes,DSL,No,1,0,1,0,0,Two year,1,Credit card (automatic),59.9,3505.1,0
24,6322-HRPFA,Male,0,1,1,49,1,No,DSL,Yes,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.6,2970.3,0
25,6865-JZNKO,Female,0,0,0,30,1,No,DSL,Yes,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0
26,6467-CHFZW,Male,0,1,1,47,1,Yes,Fiber optic,No,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,4749.15,1
27,8665-UTDHZ,Male,0,1,1,1,0,No phone service,DSL,No,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,30.2,1
28,5248-YGIJN,Male,0,1,0,72,1,Yes,DSL,Yes,1,1,1,1,1,Two year,1,Credit card (automatic),90.25,6369.45,0
29,8773-HHUOZ,Female,0,0,1,17,1,No,DSL,No,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1093.1,1
30,3841-NFECX,Female,1,1,0,71,1,Yes,Fiber optic,Yes,1,1,1,0,0,Two year,1,Credit card (automatic),96.35,6766.95,0
31,4929-XIHVW,Male,1,1,0,2,1,No,Fiber optic,No,0,1,0,1,1,Month-to-month,1,Credit card (automatic),95.5,181.65,0
32,6827-IEAUQ,Female,0,1,1,27,1,No,DSL,Yes,1,1,1,0,0,One year,0,Mailed check,66.15,1874.45,0
33,7310-EGVHZ,Male,0,0,0,1,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0
34,3413-BMNZE,Male,1,0,0,1,1,No,DSL,No,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0
35,6234-RAAPL,Female,0,1,1,72,1,Yes,Fiber optic,Yes,1,0,1,1,0,Two year,0,Bank transfer (automatic),99.9,7251.7,0
36,6047-YHPVI,Male,0,0,0,5,1,No,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,316.9,1
37,6572-ADKRS,Female,0,0,0,46,1,No,Fiber optic,No,0,1,0,0,0,Month-to-month,1,Credit card (automatic),74.8,3548.3,0
38,5380-WJKOV,Male,0,0,0,34,1,Yes,Fiber optic,No,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,3549.25,1
39,8168-UQWWF,Female,0,0,0,11,1,Yes,Fiber optic,No,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1
40,8865-TNMNX,Male,0,1,1,10,1,No,DSL,No,1,0,0,0,0,One year,0,Mailed check,49.55,475.7,0
41,9489-DEDVP,Female,0,1,1,70,1,Yes,DSL,Yes,1,0,0,1,0,Two year,1,Credit card (automatic),69.2,4872.35,0
42,9867-JCZSP,Female,0,1,1,17,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,418.25,0
43,4671-VJLCL,Female,0,0,0,63,1,Yes,DSL,Yes,1,1,1,1,0,Two year,1,Credit card (automatic),79.85,4861.45,0
44,4080-IIARD,Female,0,1,0,13,1,Yes,DSL,Yes,1,0,1,1,0,Month-to-month,1,Electronic check,76.2,981.45,0
45,3714-NTNFO,Female,0,0,0,49,1,Yes,Fiber optic,No,0,0,0,0,1,Month-to-month,1,Electronic check,84.5,3906.7,0
46,5948-UJZLF,Male,0,0,0,2,1,No,DSL,No,1,0,0,0,0,Month-to-month,0,Mailed check,49.25,97,0
47,7760-OYPDY,Female,0,0,0,2,1,No,Fiber optic,No,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144.15,1
48,7639-LIAYI,Male,0,0,0,52,1,Yes,DSL,Yes,0,0,1,1,1,Two year,1,Credit card (automatic),79.75,4217.8,0
49,2954-PIBKO,Female,0,1,1,69,1,Yes,DSL,Yes,0,1,1,0,0,Two year,1,Credit card (automatic),64.15,4254.1,0
50,8012-SOUDQ,Female,1,0,0,43,1,Yes,Fiber optic,No,1,0,0,1,0,Month-to-month,1,Electronic check,90.25,3838.75,0
51,9420-LOJKX,Female,0,0,0,15,1,No,Fiber optic,Yes,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,1
52,6575-SUVOI,Female,1,1,0,25,1,Yes,DSL,Yes,0,0,1,1,0,Month-to-month,1,Credit card (automatic),69.5,1752.65,0
53,7495-OOKFY,Female,1,1,0,8,1,Yes,Fiber optic,No,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,633.3,1
54,4667-QONEA,Female,1,1,1,60,1,No,DSL,Yes,1,1,1,0,1,One year,1,Credit card (automatic),74.85,4456.35,0
55,1658-BYGOY,Male,1,0,0,18,1,Yes,Fiber optic,No,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,1
56,8769-KKTPH,Female,0,1,1,63,1,Yes,Fiber optic,Yes,0,0,0,1,1,One year,1,Credit card (automatic),99.65,6311.2,0
57,5067-XJQFU,Male,1,1,1,66,1,Yes,Fiber optic,No,1,1,1,1,1,One year,1,Electronic check,108.45,7076.35,0
58,3957-SQXML,Female,0,1,1,34,1,Yes,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,894.3,0
59,5954-BDFSG,Female,0,0,0,72,1,Yes,Fiber optic,No,0,1,1,1,1,Two year,1,Credit card (automatic),107.5,7853.7,0
60,0434-CSFON,Female,0,1,0,47,1,Yes,Fiber optic,No,0,1,0,1,1,Month-to-month,1,Electronic check,100.5,4707.1,0
61,1215-FIGMP,Male,0,0,0,60,1,Yes,Fiber optic,No,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0
62,0526-SXDJP,Male,0,1,0,72,0,No phone service,DSL,Yes,1,1,0,0,0,Two year,0,Bank transfer (automatic),42.1,2962,0
63,0557-ASKVU,Female,0,1,1,18,1,No,DSL,No,0,1,1,0,0,One year,1,Credit card (automatic),54.4,957.1,0
64,5698-BQJOH,Female,0,0,0,9,1,Yes,Fiber optic,No,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,857.25,1
65,5122-CYFXA,Female,0,0,0,3,1,No,DSL,No,1,0,1,1,1,Month-to-month,1,Electronic check,75.3,244.1,0
66,8627-ZYGSZ,Male,0,1,0,47,1,Yes,Fiber optic,No,1,0,0,0,0,One year,1,Electronic check,78.9,3650.35,0
67,3410-YOQBQ,Female,0,0,0,31,1,No,DSL,No,1,1,1,1,1,Two year,0,Mailed check,79.2,2497.2,0
68,3170-NMYVV,Female,0,1,1,50,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,930.9,0
69,7410-OIEDU,Male,0,0,0,10,1,No,Fiber optic,Yes,0,1,0,0,0,Month-to-month,1,Mailed check,79.85,887.35,0
70,2273-QCKXA,Male,0,0,0,1,1,No,DSL,No,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,49.05,0
71,0731-EBJQB,Female,0,1,1,52,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,1090.65,0
72,1891-QRQSA,Male,1,1,1,64,1,Yes,Fiber optic,Yes,0,1,1,1,1,Two year,1,Bank transfer (automatic),111.6,7099,0
73,8028-PNXHQ,Male,0,1,1,62,1,Yes,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,1424.6,0
74,5630-AHZIL,Female,0,0,1,3,1,No,DSL,Yes,0,0,1,0,1,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0
75,2673-CXQEU,Female,1,0,0,56,1,Yes,Fiber optic,Yes,1,1,0,1,1,One year,0,Electronic check,110.5,6139.5,0
76,6416-JNVRK,Female,0,0,0,46,1,No,DSL,No,0,0,0,0,1,One year,0,Credit card (automatic),55.65,2688.85,0
77,5590-ZSKRV,Female,0,1,1,8,1,No,DSL,Yes,1,0,0,0,0,Month-to-month,0,Mailed check,54.65,482.25,0
78,0191-ZHSKZ,Male,1,0,0,30,1,No,DSL,Yes,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,0
79,3887-PBQAO,Female,0,1,1,45,1,Yes,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.9,1216.6,0
80,5919-TMRGD,Female,0,0,1,1,1,No,Fiber optic,No,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,79.35,1
81,8108-UXRQN,Female,0,1,1,11,0,No phone service,DSL,Yes,0,0,0,1,1,Month-to-month,0,Electronic check,50.55,565.35,0
82,9191-MYQKX,Female,0,1,0,7,1,No,Fiber optic,No,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1
83,9919-YLNNG,Female,0,0,0,42,1,No,Fiber optic,No,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0
84,0318-ZOPWS,Female,0,1,0,49,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,973.35,0
85,4445-ZJNMU,Male,0,0,0,9,1,Yes,Fiber optic,No,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.3,918.75,0
86,4808-YNLEU,Female,0,1,0,35,1,No,DSL,Yes,0,0,0,1,0,One year,1,Bank transfer (automatic),62.15,2215.45,0
87,1862-QRWPE,Female,0,1,1,48,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,1057,0
88,2796-NNUFI,Female,0,1,1,46,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,927.1,0
89,3016-KSVCP,Male,0,1,0,29,0,No phone service,DSL,No,0,0,0,1,0,Month-to-month,0,Mailed check,33.75,1009.25,0
90,4767-HZZHQ,Male,0,1,1,30,1,No,Fiber optic,No,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0
91,2424-WVHPL,Male,1,0,0,1,1,No,Fiber optic,No,0,0,1,0,0,Month-to-month,0,Electronic check,74.7,74.7,0
92,7233-PAHHL,Male,0,1,1,66,1,Yes,DSL,Yes,0,1,1,1,1,Two year,1,Mailed check,84.0,5714.25,0
93,6067-NGCEU,Female,0,0,0,65,1,Yes,Fiber optic,Yes,1,1,0,1,1,Month-to-month,1,Credit card (automatic),111.05,7107,0
94,9848-JQJTX,Male,0,0,0,72,1,Yes,Fiber optic,No,1,1,0,1,1,Two year,1,Bank transfer (automatic),100.9,7459.05,0
95,8637-XJIVR,Female,0,0,0,12,1,Yes,Fiber optic,Yes,0,0,0,0,0,Month-to-month,1,Electronic check,78.95,927.35,1
96,9803-FTJCG,Male,0,1,1,71,1,Yes,DSL,Yes,1,0,1,0,0,One year,1,Credit card (automatic),66.85,4748.7,0
97,0278-YXOOG,Male,0,0,0,5,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,1
98,3212-KXOCR,Male,0,0,0,52,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),21.0,1107.2,0
99,4598-XLKNJ,Female,1,1,0,25,1,No,Fiber optic,No,1,1,0,1,1,Month-to-month,1,Electronic check,98.5,2514.5,1
100,6380-ARCEH,Male,0,0,0,1,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,20.2,0
101,3679-XASPY,Female,0,1,1,1,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.45,19.45,0
102,7123-WQUHX,Male,0,0,0,38,1,Yes,Fiber optic,No,0,1,1,1,0,One year,0,Bank transfer (automatic),95.0,3605.6,0
103,5386-THSLQ,Female,1,1,0,66,0,No phone service,DSL,No,1,1,0,1,0,One year,0,Bank transfer (automatic),45.55,3027.25,0
104,3192-NQECA,Male,0,1,0,68,1,Yes,Fiber optic,No,1,1,1,1,1,Two year,1,Bank transfer (automatic),110.0,7611.85,1
105,6180-YBIQI,Male,0,0,0,5,0,No phone service,DSL,No,0,0,0,0,0,Month-to-month,0,Mailed check,24.3,100.2,0
106,6728-DKUCO,Female,0,1,1,72,1,Yes,Fiber optic,Yes,1,0,0,1,1,One year,1,Electronic check,104.15,7303.05,0
107,9750-BOOHV,Female,0,0,0,32,0,No phone service,DSL,Yes,0,0,0,0,0,One year,0,Mailed check,30.15,927.65,0
108,8597-CWYHH,Male,0,0,0,43,1,Yes,Fiber optic,No,0,0,0,1,1,One year,0,Mailed check,94.35,3921.3,0
109,2848-YXSMW,Male,0,1,1,72,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,1363.25,0
110,0486-HECZI,Male,0,1,0,55,1,Yes,Fiber optic,Yes,1,0,0,1,0,Month-to-month,1,Electronic check,96.75,5238.9,1
111,4549-ZDQYY,Female,0,0,0,52,1,No,DSL,Yes,0,1,1,0,0,One year,0,Credit card (automatic),57.95,3042.25,0
112,5712-AHQNN,Female,0,0,0,43,1,No,Fiber optic,No,1,1,0,1,0,Month-to-month,1,Electronic check,91.65,3954.1,0
113,4846-WHAFZ,Female,1,1,0,37,1,Yes,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Electronic check,76.5,2868.15,1
114,5256-SKJGO,Female,0,1,1,64,0,No phone service,DSL,No,1,0,1,1,1,Two year,1,Electronic check,54.6,3423.5,0
115,3071-VBYPO,Male,0,1,1,3,1,No,Fiber optic,Yes,1,0,0,1,0,Month-to-month,0,Electronic check,89.85,248.4,0
116,9560-BBZXK,Female,0,0,0,36,0,No phone service,DSL,Yes,0,0,0,0,0,Two year,0,Bank transfer (automatic),31.05,1126.35,0
117,5299-RULOA,Female,0,1,1,10,1,Yes,Fiber optic,Yes,0,0,0,1,1,Month-to-month,1,Electronic check,100.25,1064.65,1
118,8402-OOOHJ,Female,0,0,0,41,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.65,835.15,0
119,9445-ZUEQE,Male,0,1,1,27,1,Yes,Fiber optic,No,1,0,1,0,0,Month-to-month,1,Credit card (automatic),85.2,2151.6,0
120,1091-SOZGA,Female,0,1,1,56,1,Yes,Fiber optic,No,0,1,0,1,1,One year,1,Credit card (automatic),99.8,5515.45,0
121,2928-HLDBA,Female,0,0,0,6,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.7,112.75,0
122,0404-SWRVG,Male,0,0,0,3,1,Yes,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,229.55,1
123,6497-TILVL,Female,0,1,1,7,1,No,DSL,Yes,0,0,0,0,0,Month-to-month,0,Mailed check,50.7,350.35,0
124,7219-TLZHO,Female,0,1,1,4,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,62.9,0
125,4622-YNKIJ,Male,0,0,0,33,1,No,Fiber optic,Yes,0,0,1,1,0,Two year,1,Electronic check,88.95,3027.65,0
126,4412-YLTKF,Female,1,0,0,27,1,Yes,Fiber optic,No,0,1,0,0,0,Month-to-month,1,Electronic check,78.05,2135.5,1
127,6734-PSBAW,Male,0,1,0,72,1,Yes,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),23.55,1723.95,0
128,3930-ZGWVE,Male,0,0,0,1,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,19.75,0
129,2639-UGMAZ,Male,1,0,0,71,0,No phone service,DSL,Yes,1,0,0,1,1,One year,1,Electronic check,56.45,3985.35,0
130,2876-GZYZC,Female,0,0,0,13,1,Yes,Fiber optic,No,0,0,0,0,1,Month-to-month,1,Electronic check,85.95,1215.65,0
131,6207-WIOLX,Female,0,1,1,25,0,No phone service,DSL,Yes,1,1,0,1,1,Month-to-month,1,Credit card (automatic),58.6,1502.65,1
132,8587-XYZSF,Male,0,0,0,67,1,No,DSL,No,0,0,1,0,0,Two year,0,Bank transfer (automatic),50.55,3260.1,0
133,3091-FYHKI,Male,0,0,0,1,0,No phone service,DSL,No,0,0,0,0,1,Month-to-month,1,Electronic check,35.45,35.45,1
134,2372-HWUHI,Male,0,0,0,2,1,No,DSL,No,0,0,0,0,0,Month-to-month,0,Electronic check,44.35,81.25,1
135,7799-LGRDP,Female,0,0,0,43,1,Yes,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.7,1188.2,0
136,7850-VWJUU,Female,0,0,0,23,1,No,Fiber optic,Yes,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.0,1778.5,0
137,3774-VBNXY,Female,0,1,1,64,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.2,1277.75,0
138,6217-KDYWC,Male,0,0,1,57,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.6,1170.55,0
139,0390-DCFDQ,Female,1,1,0,1,1,No,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Mailed check,70.45,70.45,1
140,3146-MSEGF,Female,1,1,1,72,1,Yes,DSL,Yes,1,1,1,1,1,Two year,1,Credit card (automatic),88.05,6425.65,0
141,4080-OGPJL,Female,0,0,0,8,1,Yes,DSL,Yes,0,0,1,0,1,Month-to-month,0,Electronic check,71.15,563.65,1
142,1095-WGNGG,Female,0,1,0,61,1,Yes,Fiber optic,No,1,0,0,1,1,Two year,1,Bank transfer (automatic),101.05,5971.25,0
143,2636-SJDOU,Male,0,0,0,64,1,Yes,Fiber optic,Yes,1,0,0,0,0,One year,1,Credit card (automatic),84.3,5289.05,0
144,1131-QQZEB,Male,1,1,0,71,1,Yes,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),23.95,1756.2,0
145,5716-EZXZN,Female,0,1,1,65,1,Yes,Fiber optic,Yes,1,0,1,1,0,Two year,1,Credit card (automatic),99.05,6416.7,0
146,6837-BJYDQ,Male,0,0,0,3,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.6,61.35,0
147,2135-RXIHG,Male,0,0,0,1,1,No,DSL,No,0,0,0,0,0,Month-to-month,1,Electronic check,45.65,45.65,1
148,6440-DKQGE,Male,0,0,1,30,1,No,DSL,No,1,1,0,1,0,One year,0,Credit card (automatic),64.5,1929.95,0
149,3466-BYAVD,Male,0,1,1,15,1,No,DSL,No,1,1,1,0,1,Month-to-month,1,Mailed check,69.5,1071.4,0
150,3780-YVMFA,Female,0,1,1,8,1,No,DSL,No,0,0,1,1,1,Month-to-month,1,Electronic check,68.55,564.35,0
151,3874-EQOEP,Male,0,0,0,7,1,Yes,Fiber optic,No,0,0,0,1,1,Month-to-month,0,Mailed check,95.0,655.5,1
152,1679-JRFBR,Female,0,1,1,70,1,Yes,Fiber optic,Yes,1,1,0,1,1,One year,1,Credit card (automatic),108.15,7930.55,0
153,9073-ZZIAY,Male,0,1,1,62,1,No,DSL,Yes,1,1,1,1,1,Two year,0,Electronic check,86.1,5215.25,0
154,3077-RSNTJ,Female,0,1,1,6,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,113.5,0
155,6551-GNYDG,Female,0,1,1,14,1,No,Fiber optic,No,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),80.9,1152.8,0
156,9167-APMXZ,Female,0,0,0,22,1,Yes,Fiber optic,No,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),84.15,1821.95,0
157,2749-CTKAJ,Male,0,1,1,22,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.15,419.9,0
158,6371-NZYEG,Male,0,1,1,16,1,No,DSL,Yes,0,1,0,1,0,Two year,0,Mailed check,64.25,1024,0
159,7554-NEWDD,Male,0,0,0,10,1,Yes,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.7,251.6,0
160,8992-VONJD,Female,0,0,1,13,1,No,DSL,Yes,1,0,0,0,0,Month-to-month,1,Electronic check,56.0,764.55,0
161,0867-MKZVY,Female,0,1,0,20,1,Yes,Fiber optic,Yes,0,0,0,0,0,Month-to-month,0,Electronic check,82.4,1592.35,1
162,4482-EWFMI,Female,0,0,0,2,1,No,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,135.2,0
163,4648-YPBTM,Male,0,0,0,53,1,Yes,DSL,No,1,1,1,0,1,Two year,1,Bank transfer (automatic),73.9,3958.25,0
164,2907-ILJBN,Female,0,1,1,11,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.6,233.9,0
165,6345-FZOQH,Male,0,1,0,69,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.9,1363.45,0
166,3376-BMGFE,Female,0,0,0,4,1,No,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),70.9,273,1
167,5997-OPVFA,Male,0,1,0,72,1,Yes,DSL,Yes,1,1,1,1,1,Two year,1,Bank transfer (automatic),89.05,6254.45,0
168,3445-HXXGF,Male,1,1,0,58,0,No phone service,DSL,No,1,1,0,0,1,Month-to-month,1,Electronic check,45.3,2651.2,1
169,1159-WFSGR,Female,0,1,1,16,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,20.4,321.4,0
170,7654-YWJUF,Male,0,1,0,43,1,No,Fiber optic,Yes,0,1,1,0,0,One year,1,Bank transfer (automatic),84.25,3539.25,0
171,1875-QIVME,Female,0,1,0,2,1,Yes,Fiber optic,No,0,1,1,1,1,Month-to-month,1,Electronic check,104.4,242.8,1
172,6727-IOTLZ,Male,0,1,0,14,1,No,DSL,No,1,1,1,1,1,Two year,0,Mailed check,81.95,1181.75,0
173,0691-JVSYA,Female,0,1,0,53,1,No,Fiber optic,No,0,1,0,1,1,One year,1,Bank transfer (automatic),94.85,5000.2,1
174,5918-VUKWP,Female,0,0,0,32,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.55,654.55,0
175,1744-JHKYS,Female,0,1,0,34,1,Yes,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,24.7,780.2,0
176,2656-FMOKZ,Female,1,0,0,15,1,Yes,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Mailed check,74.45,1145.7,1
177,2070-FNEXE,Female,1,0,0,7,1,No,Fiber optic,Yes,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),76.45,503.6,1
178,5947-SGKCL,Female,0,1,1,15,1,Yes,Fiber optic,No,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),105.35,1559.25,0
179,3712-PKXZA,Male,0,1,0,61,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.55,1252,0
180,6317-YPKDH,Female,0,0,0,1,0,No phone service,DSL,No,1,0,0,0,0,Month-to-month,0,Bank transfer (automatic),29.95,29.95,1
181,6582-OIVSP,Female,0,0,0,1,1,No,DSL,No,0,0,0,0,0,Month-to-month,0,Mailed check,45.3,45.3,0
182,9367-WXLCH,Male,0,0,0,8,1,Yes,Fiber optic,No,0,0,0,0,1,Month-to-month,0,Bank transfer (automatic),84.5,662.65,1
183,5524-KHNJP,Male,0,1,1,33,1,No,DSL,Yes,0,1,0,1,1,One year,0,Credit card (automatic),74.75,2453.3,0
